។ល។	/laʔ/
ក	/kɑɑ/
ក	/kɑɑ/
ក៏	/kɑɑ/
កក	/kɑɑk/
កក់	/kɑk/
កក់ក្ដៅ	/kɑk kdav/
កក់សក់	/kɑk sɑk/
កកិត	/kɑkət/
កកូរ	/kɑkou/
កកើត	/kɑɑ kaət/
កខ្វក់	/kɑkvɑk/
កង	/kɑɑŋ/
កង់	/kɑŋ/
កង្ហារ	/kɑŋhaa/
កញ្ចក់	/kɑɲcɑk/
កញ្ចប់	/kɑɲcɑp/
កញ្ច្រែង	/kɑɲcraeŋ/
កញ្ញា	/kaɲɲaa/
កញ្ញា	/kaɲɲaa/
កំដរ	/kɑmdɑɑ/
កដៃ	/kɑɑ day/
ក៏ដោយ	/kɑɑ daoy/
កំណក	/kɑmnɑɑk/
កំណត់	/kɑmnɑt/
កណ្ដាល	/kɑndaal/
កណ្ដឹង	/kɑndəŋ/
កណ្ដៀវ	/kɑndiəv/
កណ្ដោរ	/kɑndao/
កណ្ណិកា	/kɑnəkaa/
កត់	/kɑt/
កត់ត្រា	/kɑt traa/
កន្ត្រក	/kɑntrɑɑk/
កន្ត្រៃ	/kɑntray/
កន្ត្រៃកាត់ក្រចក	/kɑntray kat krɑcɑɑk/
កន្ទក់	/kɑntʊək/
កន្ទុយ	/kɑntuy/
កន្ទេល	/kɑnteel/
កន្ធន់	/kɑntʰʊən/
កន្និកា	/kɑnnikaa/
កន្លះ	/kɑnlah/
កន្លង	/kɑnlɑɑŋ/
កន្លែង	/kɑnlaeŋ/
កន្លែងធ្វើការ	/kɑnlaeŋ tvəə kaa/
កន្សែង	/kɑnsaeŋ/
កន្សែងពោះគោ	/kɑnsaeŋ pʊəh koo/
កប់	/kɑp/
កប៉ាល់	/kaʔpal/
កំប៉ិត	/kɑmpət/
កំប៉ុង	/kɑmpoŋ/
កំប្លេ	/kɑmplee/
កំប្លែង	/kɑmplaeŋ/
កំពង់ធំ	/kɑmpʊəŋ tʰom/
កំពង់ផែ	/kɑmpʊəŋ pʰae/
កំពត	/kɑmpɔɔt/
កំពប់	/kɑmpup/
កំពុង	/kɑmpuŋ/
កំពុងតែ	/kɑmpuŋ tae/
កំពូលភ្នំ	/kɑmpuul pnum/
កម្ចាត់	/kɑmcat/
កម្ដៅ	/kɑmdav/
កម្ទេច	/kɑmtɨc/
កម្ទេចកម្ទី	/kɑmtɨc kɑmtii/
កម្ពស់	/kɑmpʊəh/
កម្ពុជា	/kampuʔcie/
កម្ពុជាក្រោម	/kampuʔcie kraom/
កម្មករ	/kammaʔ kɑɑ/
កម្មពៀរ	/kam piə/, /kammeaʔ piə/, /kammaʔ piə/
