กก	/gok/
กกไม้	/gok.mai/
กด	/got/
กด	/got/
กน	/gon/
ก่น	/gon/
ก้น	/gon/
กบ	/gop/
กม	/gom/
ก้ม	/gom/
กวด	/gu:at/
ก้วย	/gu:ai/
กวยเตียว	/gu:ai.ti:ao/
กว่า	/gwa:/
กว้าง	/gwa:ŋ/
ก่อ	/gɔ:/
ก้อกๆ	/gɔ:k/
ก่อกน้ำ	/gɔk.na:m/
กอง	/gɔ:ŋ/
กอง	/gɔ:ŋ/
ก่อง	/gɔŋ/
ก้อง	/gɔ:ŋ/
ก่องแก่ง	/gɔŋ.gɛŋ/
กองไฟ	/gɔ:ŋ.fai/
กอน	/gɔ:n/
ก่อน	/gɔ:n/
ก้อน	/gɔ:n/
ก้อนเมก	/gɔ:n.me:k/
ก้อนหิน	/gɔ:n.hin/
กอบ	/gɔ:p/
ก่อส้าง	/gɔ:.sa:ŋ/
กะ	/ga/
กะ	/ga/
กะคุ	/ga.ku/
กะจก	/ga.jok/
กะด้อกะเดี้ย	/ga.dɔ:k.ga.di:a/
กะดอง	/ga.dɔ:ŋ/
กะดาด	/ga.da:t/
กะดาดแข็ง	/ga.da:t.khɛŋ/
กะดาน	/ga.da:n/
กะดิก	/ga.dik/
กะดุม	/ga.dum/
กะดูก	/ga.du:k/
กะเดย	/ga.də:i/
กะโดด	/ga.do:t/
กะต่า	/ga.ta:/
กะทะ	/ga.tha/
กะเทียม	/ga.thi:am/
กะปอง	/ga.pɔŋ/
กะปุก	/ga.puk/
กะเปา	/ga.pao/
กะเปาเป้	/ga.pao.pe:/
กะโปง	/ga.po:ŋ/
กะเพาะ	/ga.phɔ/
กะละกะดาคม	/ga.la.ga.da:.khom/
กะละมัง	/ga.la.maŋ/
กะลัง	/ga.laŋ/
กะหล้ำ	/ga.lam/
กะหล้ำปี	/ga.lam.pi:/
กะโหลก	/ga.lo:k/
กัด	/gat/
กัน	/gan/
กัน	/gan/
กั้น	/gan/
กันไก	/gan.gai/
กันญาย๊น	/gan.ɲa:.yon/
กับ	/gap/
กับ	/gap/
กับเข้า	/gap.khao/
กับตัน	/gap.tan/
ก้า	/ga:/
ก้า	/ga:/
ก้ากๆ	/ga:k.ga:k/
กากะบาด	/ga:.ga.ba:t/
กากี	/ga:.gi:/
กาง	/ga:ŋ/
กางเกง	/ga:ŋ.ge:ŋ/
กาตูน	/ga:.tu:n/
กาน	/ga:n/
ก้าน	/ga:n/
กานเมือง	/ga:n.mʉ:aŋ/
กาบ	/ga:p/
กาแฟ	/ga:.fɛ:/
ก้าม	/ga:m/
กาย	/ga:i/
กาละเทสะ	/ga:.la.the:.sa/
ก้าว	/ga:o/
ก่ำ	/gam/
กำปั้น	/gam.ban/
กำแพง	/gam.phɛ:ŋ/
กำลัง	/gam.laŋ/
กำลัง	/gam.laŋ/
กิ่ง	/giŋ/
กิ่ง	/giŋ/
กิดจะกัม	/git.ja.gam/
กิน	/gin/
กิ่น	/gin/
กีบ	/gi:p/
กีลา	/gi:.la:/
กุงเทบ	/guŋ.the:p/
กุงไทย	/guŋ.thai/
กุนแก	/gun.gɛ:/
กุนแกข้อมือ	/gun.gɛ:.khɔ:.mʉ:/
กุนแจ	/gun.jɛ:/
กุ่บ	/gup/
กุมพา	/gum.pha:/
กุมพาพัน	/gum.pha:.phan/
กู	/gu:/
กู้	/gu:/
เก	/ge:/
เก่ง	/geŋ/
เก็ด	/get/
