กก	/gok/
เก่ด	/get/
เก็บ	/gep/
เกม	/ge:m/
เกสอน	/ge:.sɔ:n/
เกะกะ	/ge.ga/
เก่า	/gao/
เก้า	/gao/
เก้าอี้	/gao.i:/
เกาะ	/gɔ/
เกาะ	/gɔ/
เกิด	/gə:t/
เกิน	/gə:n/
เกินเหด	/gə:n.he:t/
เกิบ	/gə:p/
เกิบคีบ	/gə:p.khi:p/
เกิบแตะ	/gə:p.tɛ/
เกิบโบก	/gə:p.bo:k/
เกิบผ้าใบ	/gə:p.pha:.bai/
เกีย	/gi:a/
เกียก	/gi:ak/
เกี้ยง	/gi:aŋ/
เกี้ยงเกา	/gi:aŋ.gao/
เกี้ยงมิ่นลิ่น	/gi:aŋ.min.lin/
เกียบ	/gi:ap/
เกี่ยว	/gi:ao/
เกี่ยวกับ	/gi:ao.gap/
แก	/gɛ:/
แก	/gɛ:/
แก่	/gɛ:/
แก้	/gɛ:/
แกง	/gɛ:ŋ/
แก้ง	/gɛ:ŋ/
แก่งจ่างป่าง	/gɛŋ.ja:ŋ.pa:ŋ/
แก้ม	/gɛ:m/
แก้ว	/gɛ:o/
แกะ	/gɛ/
โก่งโด่ง	/go:ŋ.do:ŋ/
โกน	/go:n/
ใก้	/gai/
ไก	/gai/
ไก่	/gai/
ขดตะหมาด	/khot.ta.ma:t/
ขน	/khon/
ขนส่ง	/khon.soŋ/
ขม	/khom/
ขวด	/khu:at/
ขวน	/khu:an/
ขวา	/khwa:/
ขอ	/khɔ:/
ของ	/khɔ:ŋ/
ของ	/khɔ:ŋ/
ข้อง	/khɔŋ/
ของขวน	/khɔ:ŋ.khu:an/
ของหวาน	/khɔ:ŋ.wa:n/
ของเหล้น	/khɔ:ŋ.len/
ขอซ้าง	/khɔ:.sa:ŋ/
ข้อต่อ	/khɔ:.tɔ:/
ขอโต	/khɔ:.to:/
ขอทาน	/khɔ:.tha:n/
ข้อน	/khɔn/
ขอนไม้	/khɔ:n.mai/
ขอบ	/khɔ:p/
ขอบคุณ	/khɔ:p.khun/
ขอบใจ	/khɔ:p.jai/
ขอบิ่น	/khɔ:.bin/
ข้อมูน	/khɔ:.mu:n/
ข้อย	/khɔ:i/
ข้อหล้อ	/khɔ:.lɔ:/
ขะบวน	/kha.bu:an/
ขะโมย	/kha.mo:i/
ขะยะ	/kha.ya/
ขะหนม	/kha.nom/
ขะหนาด	/kha.na:t/
ขัง	/khaŋ/
ขัน	/khan/
ขั้น	/khan/
ขั้น	/khan/
ขั้น	/khan/
ขั้นตอน	/khan.tɔ:n/
ขับ	/khap/
ขั้วน	/khu:an/
ขา	/kha:/
ข้า	/kha:/
ข้าง	/kha:ŋ/
ข้างขวา	/kha:ŋ.kwa:/
ข้างซ้าย	/kha:ŋ.sa:i/
ข้างเทิง	/kha:ŋ.thə:ŋ/
ข้างนอก	/kha:ŋ.nɔ:k/
ข้างใน	/kha:ŋ.nai/
ข้างล่าง	/kha:ŋ.la:ŋ/
ข้างหน้า	/kha:ŋ.na:/
ข้างหลัง	/kha:ŋ.laŋ/
ขาด	/kha:t/
ขาตั้ง	/kha:.taŋ/
ข้าม	/kha:m/
ขาย	/kha:i/
ขาว	/kha:o/
ข่าว	/kha:o/
ขิ้น	/khin/
ขี่	/khi:/
ขี้	/khi:/
ขีด	/khi:t/
ขี้ดิน	/khi:.din/
ขี้ตม	/khi:.tom/
ขี้ผึ้ง	/khi:.pʉŋ/
ขี้ฝ้า	/khi:.fa:/
ขี้มึน	/khi:.mʉn/
ขึง	/khʉŋ/
ขึงขัง	/khʉŋ.khaŋ/
ขึ้น	/khʉn/
ขึ้นซื่อ	/khʉn.sʉ:/
ขุด	/khut/
เข้ง	/kheŋ/
เข็ม	/khem/
เข้ม	/khem/
เขา	/khao/
เขา	/khao/
เข่า	/khao/
เข้า	/khao/
เข้า	/khao/
เข้า	/khao/
เข้างาย	/khao.ŋa:i/
เข้าเจ้า	/khao.jao/
เข้าเซ้า	/khao.sao/
เข้าแลง	/khao.lɛ:ŋ/
เข้าสวย	/khao.su:ai/
เข้าสาน	/khao.sa:n/
เขียน	/khi:an/
เขียว	/khi:ao/
แข็ง	/khɛŋ/
แข่ง	/khɛŋ/
แข็งแลง	/khɛŋ.lɛ:ŋ/
แขน	/khɛ:n/
แขน	/khɛ:n/
แข้ว	/khɛ:o/
ไข่	/khai/
ไข่ขาว	/khai.kha:o/
ไข่เจียว	/khai.ji:ao/
ไข่ดาว	/khai.da:o/
ไข่แดง	/khai.dɛ:ŋ/
ไขมัน	/khai.man/
ไข้เลือดออก	/khai.lʉ:at.ɔ:k/
คก	/khok/
คน	/khon/
คน	/khon/
คนไข้	/khon.khai/
คนป่วย	/khon.pu:ai/
คนละ	/khon.la/
คม	/khom/
คม	/khom/
ควน	/khu:an/
ควย	/khu:ai/
ความ	/khwa:m/
ความคิด	/khwa:m.khit/
ความทุก	/khwa:m.thuk/
ความปอดพัย	/khwa:m.pɔ:t.phai/
ความฝัน	/khwa:m.fan/
ความเย็น	/khwa:m.yen/
ความลู้	/khwa:m.lu:/
ความสุข	/khwa:m.suk/
ความหมาย	/khwa:m.ma:i/
ความหายยะนะ	/khwa:m.ha:i.ya.na/
ความฮ้อน	/khwa:m.hɔ:n/
ความฮู้	/khwa:m.hu:/
คอ	/khɔ:/
คอก	/khɔ:k/
คอง	/khɔ:ŋ/
ค็อนกีด	/khɔn.gi:t/
ค็อนโด	/khon.do:/
คอบคัว	/khɔ:p.khu:a/
ค็อม	/khom/
ค็อมพิวเต้อ	/khom.piu.tə:/
ค่อย	/khɔ:i/
ค้อย	/khɔ:i/
คอสอ	/khɔ:.sɔ:/
คะนิด	/kha.nit/
คะนิดตะสาด	/kha.nit.ta.sa:t/
คะนิดสาด	/kha.nit.sa:t/
คะแนน	/kha.nɛ:n/
คัก	/khak/
คัด	/khat/
คัน	/khan/
คันเล่ง	/khan.leŋ/
คับ	/khap/
คัว	/khu:a/
ค่า	/kha:/
ค้า	/kha:/
คาง	/kha:ŋ/
ค้าง	/kha:ŋ/
คาน	/kha:n/
คาบ	/kha:p/
คาบ	/kha:p/
คาย	/kha:i/
ค้าย	/kha:i/
คาว	/kha:o/
ค่าวๆ	/kha:o/
ค้าวๆ	/kha:o.kha:o/
คำ	/kham/
คำ	/kham/
คำ	/kham/
ค่ำ	/kham/
คำนวน	/kham.nu:an/
คิด	/khit/
คิบ	/khip/
คิว	/kiu/
คิ้ว	/khiu/
คิหนิก	/khi:.nik/
คีบ	/khi:p/
คีบ	/khi:p/
คึ้ม	/khʉm/
คื้น	/khʉ:n/
คืนหลัง	/khʉ:n.laŋ/
คือ	/khʉ:/
คือกัน	/khʉ:.gan/
คือเก่า	/khʉ:.gao/
คือใดบุ	/khʉ:.dai.bu/
คุณ	/khun/
คุม	/khum/
คุย	/khui/
คู	/khu:/
คู่	/khu:/
เค่งเคียด	/kheŋ.khi:at/
เค็ม	/khem/
เคย	/khə:i/
เคา	/khao/
เคาเต้อ	/khao.tə:/
เคาลบ	/khao.lop/
เคิ่ง	/khəŋ/
เคียง	/khi:aŋ/
เคียง	/khi:aŋ/
เคี่ยง	/khi:aŋ/
เคี่ยงคิดเลข	/khi:aŋ.kit.le:k/
เคี่ยงญก	/khi:aŋ.ɲok/
เคี่ยงบิน	/khi:aŋ.bin/
เคี่ยงปุง	/khi:aŋ.puŋ/
เคี่ยงสำอาง	/khi:aŋ.sam.a:ŋ/
เคี้ยงหมาย	/khi:aŋ.ma:i/
เคียด	/khi:at/
เคื้อนที้	/khʉ:an.thi:/
แค่	/khɛ:/
โคก	/kho:k/
โค้ง	/kho:ŋ/
ใคแน่	/khai.nɛ:/
งวง	/ŋu:aŋ/
งอ	/ŋɔ:/
งัด	/ŋat/
งับ	/ŋap/
งัว	/ŋu:a/
งา	/ŋa:/
ง่า	/ŋa:/
งาน	/ŋa:n/
งาม	/ŋa:m/
ง่าย	/ŋa:i/
เงิน	/ŋən/
เงินสด	/ŋən.sot/
ไง่	/ŋai/
จก	/jok/
จ่ง	/joŋ/
จดจำ	/jot.jam/
จน	/jon/
จบ	/jop/
จอ	/jɔ:/
จ้อง	/jɔŋ/
จอด	/jɔ:t/
จ่อย	/jɔ:i/
จ้อย	/jɔ:i/
จะ	/ja/
จะเลิน	/ja.lə:n/
จัก	/jak/
จักกะย๊าน	/jak.ga.ya:n/
จักอย่าง	/jak.ya:ŋ/
จั่ง	/jaŋ/
จั่งซั้น	/jaŋ.san/
จั่งซี้	/jaŋ.si:/
จั่งใด	/jaŋ.dai/
จังหวะ	/jaŋ.wa/
จังหวัด	/jaŋ.wat/
จัด	/jat/
จัด	/jat/
จับ	/jap/
จา	/ja:/
จ้า	/ja:/
จาก	/ja:k/
จาน	/ja:n/
จานฮองกาแฟ	/ja:n.hɔ:ŋ.ga:.fɛ:/
จ่าย	/ja:i/
จำ	/jam/
จำนวน	/jam.nu:an/
จำเป็น	/jam.pen/
จิก	/jik/
จิง	/jiŋ/
จินตะนา	/jin.ta.na:/
จินตะนากาน	/jin.ta.na:.ga:n/
จิ้ม	/jim/
จีวอน	/ji:.wɔ:n/
จึ่งคื่ง	/jʉŋ.khʉ:ŋ/
จืด	/jʉ:t/
จุก	/juk/
จุด	/jut/
จุดมุ่งหมาย	/jut.muŋ.ma:i/
จุดหมาย	/jut.ma:i/
จุ่นพู่น	/jun.phu:n/
จุ่ม	/jum/
เจ็ด	/jet/
เจดี	/je:.di:/
เจ็บ	/jep/
เจ้า	/jao/
เจ้าของ	/jao.khɔ:ŋ/
แจ้ง	/jɛ:ŋ/
โจก	/jo:k/
โจ้กๆ	/jo:k/
โจ่งโป่ง	/jo:ŋ.po:ŋ/
โจน	/jo:n/
โจ้น	/jo:n/
โจ่โล่	/jo:.lo:/
ใจ	/jai/
ใจกาง	/jai.ga:ŋ/
ใจฮ้าย	/jai.ha:i/
ชะนิด	/cha.nit/
ชักกะเย้อ	/chak.ga.yə:/
ชักโคก	/chak.kho:k/
ชาว	/cha:o/
ชาวบ้าน	/cha:o.ba:n/
เช็ค	/chek/
แชะ	/chɛ/
ซง	/soŋ/
ซงผม	/soŋ.phom/
ซงสี	/soŋ.si:/
ซม	/som/
ซมพู	/som.phu:/
ซ้วง	/su:aŋ/
ซวน	/su:an/
ซ้วน	/su:an/
ซวย	/su:ai/
ซอก	/sɔ:k/
ซ่อก	/sɔk/
ซอง	/sɔ:ŋ/
ซ้อง	/sɔ:ŋ/
ซ้อน	/sɔ:n/
ซ้อน	/sɔ:n/
ซ้อนซา	/sɔ:n.sa:/
ซ้อนส้อม	/sɔ:n.sɔm/
ซ่อย	/sɔ:i/
ซ่อยเหลีย	/sɔ:i.li:a/
ซะนะ	/sa.na/
ซะสั้น	/sa.san/
ซัก	/sak/
ซั่ง	/saŋ/
ซัด	/sat/
ซัน	/san/
ซั้น	/san/
ซั้นวางหนังสือ	/san.wa:ŋ.naŋ.sʉ:/
ซัว	/su:a/
ซั่วคาว	/su:a.kha:o/
ซั่วโมง	/su:a.mo:ŋ/
ซ้า	/sa:/
ซ้า	/sa:/
ซ่าง	/sa:ŋ/
ซ้าง	/sa:ŋ/
ซ่างตัดผม	/sa:ŋ.tat.phom/
ซ่าด	/sa:t/
ซาน	/sa:n/
ซานซาลา	/sa:n.sa:.la:/
ซาย	/sa:i/
ซ้าย	/sa:i/
ซายหาด	/sa:i.ha:t/
ซาว	/sa:o/
ซ่าว่า	/sa:.wa:/
ซ้ำ	/sam/
ซำบาย	/sam.ba:i/
ซ้ำแมะ	/sam.mɛ/
ซิด	/sit/
ซิ้น	/sin/
ซิ้นเนี้ย	/sin.ni:a/
ซิม	/sim/
ซี้	/si:/
ซีวิด	/si:.wit/
ซื่อ	/sʉ:/
ซื้อ	/sʉ:/
ซื่อๆ	/sʉ:/
ซุด	/sut/
ซุดโซม	/sut.so:m/
ซุม	/sum/
ซู่	/su:/
ซูด	/su:t/
ซู่มื้อนี้	/su:.mʉ:.ni:/
ซู่สิ่งซู่อย่าง	/su:.siŋ.su:.ya:ŋ/
เซ็ก	/sek/
เซ็ด	/set/
เซ้น	/sen/
เซเว้น	/se:.wen/
เซา	/sao/
เซ้า	/sao/
เซียก	/si:ak/
เซี้ยม	/si:am/
เซี้ยโลก	/si:a.lo:k/
เซี้ยวซาน	/si:ao.sa:n/
เซื้อเพิง	/sʉ:a.phə:ŋ/
แซ่	/sɛ:/
แซ่แข็ง	/sɛ:.khɛŋ/
แซง	/sɛ:ŋ/
แซบ	/sɛ:p/
แซม	/sɛ:m/
แซมพู	/sɛ:m.phu:/
โซ	/so:/
โซ้	/so:/
โซกดี	/so:k.di:/
โซฟา	/so:.fa:/
ใซ้	/sai/
ใซ้งาน	/sai.ŋa:n/
ใซ้ซีวิด	/sai.si:.wit/
ไซ	/sai/
ญก	/ɲok/
ญ้อง	/ɲɔ:ŋ/
ญ้อน	/ɲɔ:n/
ญ้อน	/ɲɔ:n/
ญ้อย	/ɲɔ:i/
ญัง	/ɲaŋ/
ญาก	/ɲa:k/
ญ่าง	/ɲa:ŋ/
ญาด	/ɲa:t/
ญาม	/ɲa:m/
ญาม	/ɲa:m/
ญ้าย	/ɲa:i/
ญาว	/ɲa:o/
ญิง	/ɲiŋ/
ญุง	/ɲuŋ/
ญู้	/ɲu:/
เญ็บ	/ɲep/
เญี่ย	/ɲi:a/
เญียง	/?/
เญี่ยว	/ɲi:ao/
แญง	/ɲɛ:ŋ/
โญก	/ɲo:k/
โญน	/ɲo:n/
ดง	/doŋ/
ด้น	/don/
ดม	/dom/
ดวง	/du:aŋ/
ดวงจัน	/du:aŋ.jan/
ดวงดาว	/du:aŋ.da:o/
ดวงตะเว็น	/du:aŋ.ta.wen/
ด้วย	/du:ai/
ด้วยกัน	/du:ai.gan/
ด้วยดี	/du:ai.di:/
ดอก	/dɔ:k/
ดอก	/dɔ:k/
ดอก	/dɔ:k/
ดอกบัว	/dɔ:k.bu:a/
ดอกไม้	/dɔ:k.mai/
ดอกวา	/dɔ:k.wa:/
ดอกว่า	/dɔ:k.wa:/
ดัง	/daŋ/
ดัง	/daŋ/
ดับ	/dap/
ด่า	/da:/
ดาก	/da:k/
ด้าน	/da:n/
ด้าม	/da:m/
ด้าย	/da:i/
ดาว	/da:o/
ดำ	/dam/
ดำนา	/dam.na:/
ดำไฮ่ดำนา	/dam.hai.dam.na:/
ดิน	/din/
ดิ้น	/din/
ดิบ	/dip/
ดี	/di:/
ดีใจ	/di:.jai/
ดึก	/dʉk/
ดึก	/dʉk/
ดึง	/dʉŋ/
ดืน	/dʉ:n/
ดุ	/du/
ดุ	/du/
ดุล้าย	/du.la:i/
ดู	/du:/
ดูด	/du:t/
ดูแล	/du:.lɛ:/
เด่	/de:/
เด๊	/de:/
เด็ก	/dek/
เด็กน้อย	/dek.nɔ:i/
เด็กเสิบ	/dek.sə:p/
เด้อ	/də:/
เด่ะ	/de/
เดา	/dao/
เดิ่น	/də:n/
เดินทาง	/də:n.tha:ŋ/
เดียน	/di:an/
เดียว	/di:ao/
เดียวกัน	/di:ao.gan/
แดง	/dɛ:ŋ/
แดด	/dɛ:t/
โด่งดัง	/do:ŋ.daŋ/
โดด	/do:t/
โดน	/do:n/
โดน	/do:n/
โดยสาน	/do:i.sa:n/
ใด	/dai/
ได้	/dai/
ได้ญิน	/dai.ɲin/
ได้ลับ	/dai.lap/
ได้ฮับ	/dai.hap/
ตก	/tok/
ตกใจ	/tok.jai/
ตกดิน	/tok.din/
ตกแต่ง	/tok.tɛŋ/
ตง	/toŋ/
ตน	/ton/
ต่น	/ton/
ต้น	/ton/
ต้นก้า	/ton.ga:/
ต้นเข้า	/ton.khao/
ต้นไม้	/ton.mai/
ตบ	/top/
ต้ม	/tɔm/
ตวด	/tu:at/
ตวดสอบ	/tu:at.sɔ:p/
ต่อ	/tɔ:/
ตอก	/tɔ:k/
ต่อคิว	/tɔ:.kiu/
ต้อง	/tɔŋ/
ต้องกาน	/tɔŋ.ga:n/
ตอน	/tɔ:n/
ตอนนี้	/tɔ:n.ni:/
ตอบ	/tɔ:p/
ตอบแทน	/tɔ:p.thɛ:n/
ต่อไป	/tɔ:.pai/
ต่อไปนี้	/tɔ:.pai.ni:/
ตอม	/tɔ:m/
ต่อสู้	/tɔ:.su:/
ตะก้า	/ta.ga:/
ตะเกียบ	/ta.gi:ap/
ตะขอ	/ta.khɔ:/
ตะปู	/ta.pu:/
ตะลี	/ta.li:/
ตะเว็น	/ta.wen/
ตะหลก	/ta.lok/
ตะหลอดเวลา	/ta.lɔ:t.we:.la:/
ตะหลาด	/ta.la:t/
ตะหลาดนัด	/ta.la:t.nat/
ตัก	/tak/
ตั้ง	/taŋ/
ตั้ง	/taŋ/
ตั้งค้า	/taŋ.kha:/
ตั้งจิด	/taŋ.jit/
ตั้งใจ	/taŋ.jai/
ตั้งแต่	/taŋ.tɛ:/
ตัด	/tat/
ตับ	/tap/
ตัว	/tu:a/
ตั๊วะ	/tu:a/
ตา	/ta:/
ตา	/ta:/
ตา	/ta:/
ตาก	/ta:k/
ตาข่าย	/ta:.kha:i/
ต่าง	/ta:ŋ/
ต่างๆ	/ta:ŋ.ta:ŋ/
ต่างปะเทด	/ta:ŋ.pa.thet/
ตาซั่ง	/ta:.saŋ/
ตาแซบ	/ta:.sɛ:p/
ตาบอด	/ta:.bɔ:t/
ตาเบิ่ง	/ta:.bəŋ/
ตาพุฮ้าย	/ta:.phu.ha:i/
ตาม	/ta:m/
ตาม่วน	/ta:.mu:an/
ตามสั่ง	/ta:m.saŋ/
ตามีความสุข	/ta:.mi:.khwa:m.suk/
ตามีแฮง	/ta:.mi:.hɛ:ŋ/
ตาย	/ta:i/
ตาย้าน	/ta:.ya:n/
ตาลิโตน	/ta:.li.to:n/
ตาหน่าย	/ta:.na:i/
ตาอยากหัว	/ta:.ya:k.hu:a/
ตาฮัก	/ta:.hak/
ตำ	/tam/
ต่ำ	/tam/
ตำบน	/tam.bon/
ตำบักหุ่ง	/tam.bak.huŋ/
ตำหลวด	/tam.lu:at/
ติ	/ti/
ติ่ก	/tik/
ติด	/tit/
ติด	/tit/
ตี	/ti:/
ตีน	/ti:n/
ตีนเปิ่ม	/ti:n.pə:m/
ตึก	/tʉk/
ตึ่บ	/tʉp/
ตื่น	/tʉ:n/
ตื้น	/tʉ:n/
ตุ่กตุ่ก	/tuk.tuk/
ตุ้มม้อง	/tum.mɔŋ/
ตุ้ย	/tui/
ตุลาคม	/tu.la:.khom/
ตู้	/tu:/
ตู้เย็น	/tu:.yen/
เต็น	/ten/
เต้น	/ten/
เต็ม	/tem/
เต็มปี้ลี้	/tem.pi:.li:/
เตะ	/te/
เตา	/tao/
เต่า	/tao/
เติบ	/tə:p/
เติม	/tə:m/
เตี้ย	/ti:a/
เตียง	/ti:aŋ/
เตียม	/ti:am/
เตือน	/tʉ:an/
เตือนสะติ	/tʉ:an.sa.ti/
แต่	/tɛ:/
แต่	/tɛ:/
แตก	/tɛ:k/
แตกต่าง	/tɛ:k.ta:ŋ/
แต่กี้	/tɛ:.gi:/
แต่ง	/tɛŋ/
แต่งงาน	/tɛŋ.ŋa:n/
แต่งโต	/tɛŋ.to:/
แตงโม	/tɛ:ŋ.mo:/
แต่ละ	/tɛ:.la/
แต่ว่า	/tɛ:.wa:/
แต่ใส	/tɛ:.sai/
โต	/to:/
โต่ง	/to:ŋ/
โตหนังสือ	/to:.naŋ.sʉ:/
โตอย่าง	/to:.ya:ŋ/
โต่ะ	/to/
ใต้	/tai/
ไต	/tai/
ไต้	/tai/
ถก	/thok/
ถ้วม	/thu:am/
ถ้วย	/thu:ai/
ถอด	/thɔ:t/
ถ้อน	/thɔ:n/
ถะหนน	/tha.non/
ถะหนนลาดยาง	/tha.non.la:t.ya:ŋ/
ถะหนัด	/tha.nat/
ถะหวาย	/tha.wa:i/
ถะแหมะ	/tha.mɛ/
ถัง	/thaŋ/
ถังขะยะ	/thaŋ.kha.ya/
ถัดไป	/that.pai/
ถั่วงอก	/thu:a.ŋɔ:k/
ถ้า	/tha:/
ถาด	/tha:t/
ถ่าน	/tha:n/
ถานะ	/tha:.na/
ถาม	/tha:m/
ถ่าย	/tha:i/
ถิ้ม	/thim/
ถี่	/thi:/
ถีบ	/thi:p/
ถึง	/thʉŋ/
ถืก	/thʉ:k/
ถืก	/thʉ:k/
ถืก	/thʉ:k/
ถืก	/thʉ:k/
ถืกกัน	/thʉ:k.gan/
ถืกปาก	/thʉ:k.pa:k/
ถืกหู	/thʉ:k.hu:/
ถือ	/thʉ:/
ถุง	/thuŋ/
ถุงตีน	/thuŋ.ti:n/
ถุงเท้า	/thuŋ.thao/
ถู	/thu:/
เถ้า	/thao/
เถียง	/thi:aŋ/
แถว	/thɛ:o/
แถะ	/thɛ/
โถแก้ว	/tho:.gɛ:o/
โถส้วม	/tho:.su:am/
ไถ	/thai/
ไถฮุด	/thai.hut/
ทงซาด	/thoŋ.sa:t/
ทดแทน	/thot.thɛ:n/
ทน	/thon/
ทนทาน	/thon.tha:n/
ทบทวน	/thop.thu:an/
ท่วน	/thu:an/
ท่อ	/thɔ:/
ทอง	/thɔ:ŋ/
ท้อง	/thɔ:ŋ/
ท้องถะหนน	/thɔ:ŋ.tha.non/
ท้องฟ้า	/thɔ:ŋ.fa:/
ท้องเสีย	/thɔ:ŋ.si:a/
ทอด	/thɔ:t/
ทอน	/thɔ:n/
ท่อน	/thɔn/
ท้อน	/thɔ:n/
ท่อนไม้	/thɔn.mai/
ทอละมาน	/thɔ.la.ma:n/
ทะนาคาน	/tha.na:.kha:n/
ทะเล	/tha.le:/
ทะเลาะวิวาท	/tha.lɔ.wi.wa:t/
ทะวีบ	/tha.vi:p/
ทะหาน	/tha.ha:n/
ทักทาย	/thak.tha:i/
ทั้งหลาย	/thaŋ.la:i/
ทัน	/than/
ทั่น	/than/
ทันได้	/than.dai/
ทันที	/than.ti:/
ทันวาคม	/than.wa:.khom/
ทันเวลา	/than.we:.la:/
ทับ	/thap/
ทัพพี	/thap.phi:/
ทัมมะซาด	/tham.ma.sa:t/
ทัมมะดา	/tham.ma.da:/
ทั่ว	/thu:a/
ทา	/tha:/
ท่า	/tha:/
ทาง	/tha:ŋ/
ทางแย้ก	/tha:ŋ.yɛ:k/
ทางเลี้ยว	/tha:ŋ.li:ao/
ทางหน้า	/tha:ŋ.na:/
ทางหลัง	/tha:ŋ.laŋ/
ท่าทาง	/tha:.tha:ŋ/
ท่าเทบพะบุด	/tha:.the:p.pha.but/
ทาน	/tha:n/
ทาน	/tha:n/
ท้าย	/tha:i/
ทำ	/tham/
ทำความสะอาด	/tham.khwa:m.sa.a:t/
ทำงาน	/tham.ŋa:n/
ทำนอง	/tham.nɔ:ŋ/
ทำบุน	/tham.bun/
ทำล้าย	/tham.la:i/
ทิด	/thit/
ที่	/thi:/
ที่	/thi:/
ที่ดิน	/thi:.din/
ทีบ	/thi:p/
ทีละ	/thi:.la/
ที้ลี้	/thi:.li:/
ที่สุด	/thi:.sut/
ทีหลัง	/thi:.laŋ/
ที่อยู่อาสัย	/thi:.yu:.a:.sai/
ทุก	/thuk/
ทุ่ง	/thuŋ/
ทุ้ม	/thum/
ทุละ	/thu.la/
ทุละกิด	/thu.la.git/
ทูบ	/thu:p/
เท	/the:/
เทา	/thao/
เท่า	/thao/
เท่าใด	/thao.dai/
เท่านั้น	/thao.nan/
เท่านี้	/thao.ni:/
เทิง	/thə:ŋ/
เทิง	/thə:ŋ/
เทิงเบิด	/thə:ŋ.bət/
เที่ย	/thi:a/
เที่ยง	/thi:aŋ/
เที่ยงคืน	/thi:aŋ.khʉ:n/
เทียน	/thi:an/
เที่ยว	/thi:ao/
แท้	/thɛ:/
แท่ง	/thɛŋ/
แทน	/thɛ:n/
โท	/tho:/
โทน	/tho:n/
โทละทัด	/tho.la.that/
โทละสับ	/tho.la.sap/
ไทย	/tha:i/
นก	/nok/
นม	/nom/
นวน	/nu:an/
น่วย	/nu:ai/
น่วยตา	/nu:ai.ta:/
น่อ	/nɔ:/
น้อ	/nɔ:/
นอก	/nɔ:k/
นอกจาก	/nɔ:k.ja:k/
น้อง	/nɔ:ŋ/
น้องซาย	/nɔ:ŋ.sa:i/
น้องสาว	/nɔ:ŋ.sa:o/
นอน	/nɔ:n/
นอนหลับ	/nɔ:n.lap/
